ID,lat,lng,street,city,country
10,40.183731,44.5111862,Mesrop Mashtots Ave,Yerevan,Armenia
11,40.183731,44.5111862,Mesrop Mashtots Ave,Yerevan,Armenia
12,40.1820773,44.5146677,Northern Ave,Yerevan,Armenia
13,40.1878405,44.52007769999999,Teryan,Yerevan,Armenia
14,40.1549381,44.5306675,Argishti,Yerevan,Armenia
15,40.1820619,44.5208837,Sayat-Nova Ave,Yerevan,Armenia
17,40.1567434,44.5017089,Arshakunyats Ave,Yerevan,Armenia
18,40.2012047,44.5014376,Hrachya Kochar St,Yerevan,Armenia
19,40.1665764,44.5132354,Tigran Mets Ave,Yerevan,Armenia
20,40.1824108,44.5151103,5 Northern Ave,Yerevan,Armenia
21,40.186276,44.5175846,Byron St,Yerevan,Armenia
23,40.1878405,44.52007769999999,Teryan,Yerevan,Armenia
24,40.1778973,44.5189876,Hanrapetutyan St,Yerevan,Armenia
25,40.1665764,44.5132354,Tigran Mets Ave,Yerevan,Armenia
27,40.2209369,44.5008303,28,Yerevan,Armenia
28,40.1778973,44.5189876,Hanrapetutyan St,Yerevan,Armenia
31,40.1922371,44.5041657,Marshal Baghramyan Ave,Yerevan,Armenia
32,40.1665764,44.5132354,Tigran Mets Ave,Yerevan,Armenia
33,40.1820619,44.5208837,Sayat-Nova Ave,Yerevan,Armenia
34,40.1829508,44.5166621,Tumanyan St,Yerevan,Armenia
36,40.1888117,44.52438,37 Abovyan St,Yerevan,Armenia
38,40.1809038,44.5145464,39 Northern Ave,Yerevan,Armenia
42,40.1845581,44.5247759,43 Nalbandyan St,Yerevan,Armenia
44,40.1975544,44.4926943,45 Kievyan St,Yerevan,Armenia
46,40.2007241,44.4686363,47 Bashinjaghyan St,Yerevan,Armenia
48,40.1779515,44.5650182,Hunan Avetisyan St,Yerevan,Armenia
49,40.1739979,44.52130349999999,Vardanants St,Yerevan,Armenia
50,40.1686452,44.45749199999999,Malatia-Sebastia,Yerevan,Armenia
51,40.183731,44.5111862,Mesrop Mashtots Ave,Yerevan,Armenia
52,40.1918892,44.5203795,53 Mesrop Mashtots Ave,Yerevan,Armenia
58,40.1829508,44.5166621,Tumanyan St,Yerevan,Armenia
59,40.1875423,44.5102943,60 Moskovyan Street,Yerevan,Armenia
62,40.1579407,44.511237,63 Tigran Mets Ave,Yerevan,Armenia
64,40.2062505,44.5254904,65 Komitas Ave,Yerevan,Armenia
66,40.1809038,44.5145464,67 Northern Ave,Yerevan,Armenia
68,40.1809038,44.5145464,70 Northern Ave,Yerevan,Armenia
71,40.1796961,44.5004573,Paronyan St,Yerevan,Armenia
77,40.1978972,44.550014,Myasnikyan Ave,Yerevan,Armenia
78,40.183731,44.5111862,Mesrop Mashtots Ave,Yerevan,Armenia
80,40.1851571,44.52059999999999,Abovyan St,Yerevan,Armenia
82,40.2057999,44.5062259,Komitas Ave,Yerevan,Armenia
84,40.1820773,44.5146677,Northern Ave,Yerevan,Armenia
86,40.1820773,44.5146677,Northern Ave,Yerevan,Armenia
87,40.1851571,44.52059999999999,Abovyan St,Yerevan,Armenia
92,40.1828222,44.512412,Pushkin St,Yerevan,Armenia
95,40.1778973,44.5189876,Hanrapetutyan St,Yerevan,Armenia
96,40.1851571,44.52059999999999,Abovyan St,Yerevan,Armenia
99,40.1778973,44.5189876,Hanrapetutyan St,Yerevan,Armenia
100,40.1851571,44.52059999999999,Abovyan St,Yerevan,Armenia
102,40.1549381,44.5306675,Argishti,Yerevan,Armenia
106,40.184564,44.5407877,Nork-Marash,Yerevan,Armenia
107,40.183731,44.5111862,Mesrop Mashtots Ave,Yerevan,Armenia
108,40.18938180000001,44.5156616,Tamanyan St,Yerevan,Armenia
109,40.1820619,44.5208837,Sayat-Nova Ave,Yerevan,Armenia
110,40.1773371,44.5074447,Zakyan St,Yerevan,Armenia
114,40.1853021,44.5133847,115 Tumanyan St,Yerevan,Armenia
116,40.1820773,44.5146677,Northern Ave,Yerevan,Armenia
117,40.1829508,44.5166621,Tumanyan St,Yerevan,Armenia
118,40.18938180000001,44.5156616,Tamanyan St,Yerevan,Armenia
119,40.1912848,44.4706607,Leningradyan St,Yerevan,Armenia
120,40.1567434,44.5017089,Arshakunyats Ave,Yerevan,Armenia
121,40.1820773,44.5146677,Northern Ave,Yerevan,Armenia
122,40.1878405,44.52007769999999,Teryan,Yerevan,Armenia
123,40.1845988,44.5099309,Ghazar Parpetsi St,Yerevan,Armenia
124,40.1860168,44.5183665,Teryan St,Yerevan,Armenia
126,40.19883979999999,44.5283926,Adonts Institute; 31 Karapet Ulnetsi St,Yerevan,Armenia
127,40.1686755,44.5202593,Kajaznuni St,Yerevan,Armenia
128,40.18938180000001,44.5156616,Tamanyan St,Yerevan,Armenia
129,40.1829508,44.5166621,Tumanyan St,Yerevan,Armenia
132,40.1820773,44.5146677,Northern Ave,Yerevan,Armenia
133,40.1828222,44.512412,Pushkin St,Yerevan,Armenia
134,40.1778973,44.5189876,Hanrapetutyan St,Yerevan,Armenia
135,40.1829508,44.5166621,Tumanyan St,Yerevan,Armenia
