"country","city","street","housenumber"
"","","3- րդ նրբանցք","29"
"","","4-րդ փողոց","2"
"","","4-րդ փողոց","40"
"","","Byusand Street","13a"
"","","General Safaryan street","4/5"
"","","Hrazdan street","11"
"","","Marshal Baghramyan 67/1","International Center of Languages and Training (ICLT)"
"","","Mayisi 9 street","51/4"
"","","Yeznik Koghbatsi Street","45"
"","","Աբովյան փողոց","3"
"","","Ագաթանգեղոսի փողոց","7"
"","","Ադմիրալ Իսակովի պողոտա","6"
"","","Ազատամարտիկների փողոց","18"
"","","Աէրացիայի փողոց","2/8"
"","","Աղասի փողոց","20"
"","","Այգեստանի 10րդ փողոց","10/2"
"","","Անտառային փողոց","42"
"","","Աշտարակի խճուղի","11"
"","","Ավետ Ավետիսյան փողոց","67"
"","","Ավետիս Ահարոնյանի փողոց","10"
"","","Ավետիս Ահարոնյանի փողոց","2/1"
"","","Ավետիս Ահարոնյանի փողոց","2/2"
"","","Արա Սարգսյանի փողոց","6"
"","","Արաբկիրի 27 -րդ փողոց","1/6"
"","","Արամ Մարտիրոսյան փողոց","13"
"","","Արամի փողոց","42"
"","","Արամի փողոց","5a"
"","","Արարատյան փողոց","62"
"","","Արմենակ Արմենակյան փողոց","129"
"","","Արմենակ Արմենակյան փողոց","2"
"","","Արմենակ Արմենակյան փողոց","34"
"","","Արմենակ Արմենակյան փողոց","48"
"","","Արմենակ Արմենակյան փողոց","71/2"
"","","Արշակունյաց պողոտա","302"
"","","Արտաշիսյան փողոց","37"
"","","Արտաշիսյան փողոց","39"
"","","Աքսել Բակունցի փողոց","21"
"","","Բագրեւանդի փողոց","1"
"","","Բագրեւանդի փողոց","1/3"
"","","Բաշինջաղյան փակուղի","163"
"","","Բաշինջաղյան փողոց","133"
"","","Բաշինջաղյան փողոց","159/1"
"","","Բաշինջաղյան փողոց","161"
"","","Բաշինջաղյան փողոց","6"
"","","Բեկնազարյան փողոց","3/7"
"","","Բյուզանդի փողոց","3"
"","","Բրյուսովի փողոց","1"
"","","Բրյուսովի փողոց","165a"
"","","Բրյուսովի փողոց","2"
"","","Բրյուսովի փողոց","28"
"","","Գարեգին Նժդեհի փողոց","2"
"","","Գարեգին Նժդեհի փողոց","3"
"","","Գյուլբեկյան փողոց","1"
"","","Գյուրջյան փողոց","58"
"","","Գյուրջյան փողոց","62"
"","","Գոգոլի փողոց","85"
"","","Գոգոլի փողոց","87"
"","","Գոգոլի փողոց","89"
"","","Գրիգոր Զոհրաբ փողոց","118"
"","","Գրիգոր լուսավորիչ","3"
"","","Գրիգոր լուսավորիչ","4"
"","","Գրիգոր լուսավորիչ","5"
"","","Դավթաշենի 3-րդ զանգված","1"
"","","Դավթաշենի 3-րդ զանգված","34a"
"","","Դավթաշենի 4-րդ զանգված","49"
"","","Դեղատան փողոց","10"
"","","Եղվարդի խճուղի","1"
"","","Զաքարիա Սարկավագի փողոց","115"
"","","Զաքարիա Սարկավագի փողոց","125/1"
"","","Զաքարիա Սարկավագի փողոց","131/1"
"","","Զաքարիա Սարկավագի փողոց","14"
"","","Զաքարիա Սարկավագի փողոց","16"
"","","Զաքարիա Սարկավագի փողոց","20"
"","","Զաքարիա Սարկավագի փողոց","22"
"","","Զաքարիա Սարկավագի փողոց","24"
"","","Զաքարիա Սարկավագի փողոց","26"
"","","Զաքարիա Սարկավագի փողոց","28"
"","","Զաքարիա Սարկավագի փողոց","29/3"
"","","Զաքարիա Սարկավագի փողոց","32"
"","","Զաքարիա Սարկավագի փողոց","34"
"","","Զաքարիա Սարկավագի փողոց","72"
"","","Զորավար Անդրանիկի փողոց","61/1"
"","","Էզրաս Հասրաթյան փողոց","5/1"
"","","Էզրաս Հասրաթյան փողոց","5/2"
"","","Էզրաս Հասրաթյան փողոց","80/2"
"","","Թբիլիսյան խճուղի","3"
"","","Թբիլիսյան խճուղի","35"
"","","Թբիլիսյան խճուղի","7"
"","","Թբիլիսյան խճուղու նրբանղք","20"
"","","Թբիլիսյան խճուղու նրբանղք","22"
"","","Թբիլիսյան խճուղու նրբանղք","26"
"","","Թբիլիսյան խճուղու նրբանղք","34"
"","","Թումանյան թաղամաս","6/10"
"","","Թումանյան փողոց","11a"
"","","Թումանյան փողոց","35b"
"","","Լազոյի փողոց","4"
"","","Լազոյի փողոց","6"
"","","Լեոյի փողոց","54"
"","","Լյուքսեմբուրգի փողոց","11"
"","","Լյուքսեմբուրգի փողոց","4"
"","","Լորիս-Մելիքովի փողոց","36"
"","","Խանջյան փողոց","39"
"","","Խորենացու փողոց 3-րդ փակուղի","17"
"","","Խորենացու փողոց","118"
"","","Խորենացու փողոց","17"
"","","Խորենացու փողոց","24/2"
"","","Խորենացու փողոց","47/7"
"","","Ծարավ աղբյուրի փողոց","155"
"","","Ծարավ աղբյուրի փողոց","55"
"","","Ծարավ աղբյուրի փողոց","61"
"","","Ծիծեռնակաբերդի խճուղի","1/3"
"","","Կարապետ Ուլնեցու 3-րդ փակուղի","7"
"","","Կոմիտասի պողոտա","1/11"
"","","Կոմիտասի պողոտա","12"
"","","Հայկ Հովսեփյան փողոց","9"
"","","Հասրաթյան փողոց","6"
"","","Հովհաննիսյան փողոց","24"
"","","Հովհաննիսյան փողոց","4"
"","","Հովհաննիսյան փողոց","8/1"
"","","Հովսեփ Էմինի փողոց","92ա"
"","","Հրաչյա Աճառյան փողոց","32"
"","","Հրաչյա Աճառյան","26/2"
"","","Մալյան փողոց","0"
"","","Մառի փողոց","10"
"","","Մառի փողոց","18/1"
"","","Մարշալ Բաղրամյան պողոտա","21"
"","","Մարշալ Բաղրամյանի պողոտա","24a"
"","","Մարշալ Բաղրամյանի պողոտա","24b"
"","","Մարշալ Բաղրամյանի պողոտա","24c"
"","","Մարշալ Բաղրամյանի պողոտա","24d"
"","","Մարշալ Բաղրամյանի պողոտա","31"
"","","Մարշալ Բաղրամյանի պողոտա","33"
"","","Մարշալ Խուդյակովի փողոց","2"
"","","Մելքումովի փողոց","56"
"","","Մինաս Ավետիսյան 3-րդ փողոց","2"
"","","Մինաս Ավետիսյան փողոց","12"
"","","Մինաս Ավետիսյան փողոց","14"
"","","Մինաս Ավետիսյան փողոց","18/1"
"","","Մինաս Ավետիսյան փողոց","22"
"","","Մինաս Ավետիսյան","20"
"","","Մինսկի փողոց","5/5"
"","","Մխիթար Հերացի փողոց","24"
"","","Մհեր Մկրտչյան փողոց","1"
"","","Մոլդովական փողոց","26/1"
"","","Մոլդովական փողոց","32"
"","","Մոլդովական փողոց","37/19"
"","","Մոլդովական փողոց","Trade College"
"","","Նանսենի փողոց","15"
"","","Նանսենի փողոց","15/1"
"","","Նարեկացի թաղամաս","42"
"","","Նարեկացի թաղամաս","43"
"","","Նարեկացի թաղամաս","44"
"","","Նարեկացի","196"
"","","Նելսոն Ստեփանյան փողոց","10"
"","","Նելսոն Ստեփանյան փողոց","16"
"","","Նելսոն Ստեփանյան փողոց","16/1"
"","","Նելսոն Ստեփանյան փողոց","46/2"
"","","Նորաշխարյան փողոց","17a"
"","","Նորքի 13-րդ փողոց","38"
"","","Նորքի 6-րդ փողոց 1-ին նրբանցք","9"
"","","Նորքի Այգիներ","202"
"","","Նորքի Այգիներ","234"
"","","Նորքի Այգիներ","238/5"
"","","Նորքի Այգիներ","287"
"","","Շոպրոնի փողոց","25/1"
"","","Չարենց թաղամաս","16"
"","","Չարենց թաղամաս","17"
"","","Չարենցի փողոց","1"
"","","Չարենցի փողոց","123"
"","","Ռուբինյանց փողոց","2/2"
"","","Ռուբինյանց փողոց","27/55"
"","","Սարմենի փողոց","8"
"","","Սաֆարյան փողոց","2"
"","","Սաֆարյան փողոց","4"
"","","Սաֆարյան փողոց","6"
"","","Սեւակի փողոց","11"
"","","Սոսեի 2-րդ փակուղի","8"
"","","Սևակի փողոց","1/4"
"","","Սևակի փողոց","7"
"","","Սևակի փողոց","8"
"","","Սևանի փողոց","116"
"","","Վահրամ Փափազյան փողոց","27/1"
"","","Վարդանանց փողոց","6/1"
"","","Վարշավյան փողոց","4"
"","","Վերին Անտառային փողոց","127/1"
"","","Վերին Անտառային փողոց","127/2"
"","","Վերին Անտառային փողոց","127/5"
"","","Վերին Անտառային փողոց","148/3"
"","","Վիկտոր Համբարձումյանի փողոց","75H"
"","","Տիգրան Մեծ","31"
"","","Տիգրան Մեծի փողոց","32"
"","","Տոլբուխին\n","3"
"","","Քանաքեռի 1-ին փողոց","2"
"","","Քանաքեռի 1-ին փողոց","4"
"","","Քանաքեռի 1-ին փողոց","6"
"","","Քանաքեռի 1-ին փողոց","8"
"","","Քանաքեռի 10-րդ փողոց","21"
"","","Քանաքեռի 10-րդ փողոց","35"
"","","Քանաքեռի 10-րդ փողոց","38"
"","","Քանաքեռի 11-րդ փողոց","46"
"","","Քանաքեռի 11-րդ փողոց","55"
"","","Քոչինյան փողոց","1"
"","","Քոչինյան փողոց","4"
"","","Ֆանարջյան փողոց 1-րդ նրբանցք","22"
"","","Ֆանարջյան փողոց 1-րդ նրբանցք","24"
"","","Ֆանարջյան փողոց","15"
"","","Ֆանարջյան փողոց","59a"
"","","Ֆրիկի փողոց","10"
"","","Ֆրիկի փողոց","4"
"","Arinj","Hrachya Acharyan Street","42"
"","Dzoraghbyur","9 st","10"
"","Yeghvard","Yerevanyan","6Բ"
"","Yeghvard","Yerevanyan","8"
"","Yeghvard","Yerevanyan","8A"
"","Yerevan Vahagni","Araqs","5"
"","Yerevan","Aragats street","1"
"","Yerevan","Aragats street","10"
"","Yerevan","Aragats street","11"
"","Yerevan","Aragats street","12"
"","Yerevan","Aragats street","13"
"","Yerevan","Aragats street","14"
"","Yerevan","Aragats street","15"
"","Yerevan","Aragats street","16"
"","Yerevan","Aragats street","17"
"","Yerevan","Aragats street","18"
"","Yerevan","Aragats street","19"
"","Yerevan","Aragats street","1a"
"","Yerevan","Aragats street","2"
"","Yerevan","Aragats street","20"
"","Yerevan","Aragats street","21"
"","Yerevan","Aragats street","22"
"","Yerevan","Aragats street","23"
"","Yerevan","Aragats street","24"
"","Yerevan","Aragats street","25"
"","Yerevan","Aragats street","26"
"","Yerevan","Aragats street","27"
"","Yerevan","Aragats street","29"
"","Yerevan","Aragats street","29/1"
"","Yerevan","Aragats street","3"
"","Yerevan","Aragats street","31"
"","Yerevan","Aragats street","31/1"
"","Yerevan","Aragats street","33"
"","Yerevan","Aragats street","35"
"","Yerevan","Aragats street","5"
"","Yerevan","Aragats street","7"
"","Yerevan","Aragats street","8"
"","Yerevan","Aragats street","9"
"","Yerevan","Arshakuniats avenue 3rd lane","33"
"","Yerevan","Arshakuniats avenue 3rd lane","86/1"
"","Yerevan","Arshakuniats avenue","270/6"
"","Yerevan","Artashisyan street","52"
"","Yerevan","Aygedzor Lane","19"
"","Yerevan","Bagratunyats Avenue 2nd lane","46a"
"","Yerevan","Bagratunyats Avenue 4th lane","17"
"","Yerevan","Bagratunyats Avenue 4th lane","30/1"
"","Yerevan","Bagratunyats Avenue 4th lane","30/2"
"","Yerevan","Bagratunyats Avenue 4th lane","30/3"
"","Yerevan","Bagratunyats Avenue","19"
"","Yerevan","Bagratunyats Avenue","22a"
"","Yerevan","Bagratunyats Avenue","23"
"","Yerevan","Bagratunyats Avenue","25"
"","Yerevan","Bagratunyats Avenue","30"
"","Yerevan","Bagratunyats Avenue","37"
"","Yerevan","Bagratunyats Avenue","5/3"
"","Yerevan","Bashinjaghyan deadlock","47"
